entity_id,state,last_changed,local_ts,hour,night_date
sensor.lounge_airq_pm_10,2,2025-05-14 02:56:15.147000+00:00,2025-05-14 05:56:15.147000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:57:15.145000+00:00,2025-05-14 05:57:15.145000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:58:15.145000+00:00,2025-05-14 05:58:15.145000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:59:15.145000+00:00,2025-05-14 05:59:15.145000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:00:15.146000+00:00,2025-05-14 06:00:15.146000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:01:15.141000+00:00,2025-05-14 06:01:15.141000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:02:15.144000+00:00,2025-05-14 06:02:15.144000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:04:15.144000+00:00,2025-05-14 06:04:15.144000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:05:15.143000+00:00,2025-05-14 06:05:15.143000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:06:15.141000+00:00,2025-05-14 06:06:15.141000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:07:15.139000+00:00,2025-05-14 06:07:15.139000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:08:15.138000+00:00,2025-05-14 06:08:15.138000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:10:15.139000+00:00,2025-05-14 06:10:15.139000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:12:15.138000+00:00,2025-05-14 06:12:15.138000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:13:15.138000+00:00,2025-05-14 06:13:15.138000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:14:15.140000+00:00,2025-05-14 06:14:15.140000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:15:15.135000+00:00,2025-05-14 06:15:15.135000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:16:15.136000+00:00,2025-05-14 06:16:15.136000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:17:15.136000+00:00,2025-05-14 06:17:15.136000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:18:15.136000+00:00,2025-05-14 06:18:15.136000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 03:19:15.134000+00:00,2025-05-14 06:19:15.134000+03:00,6,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 03:21:15.136000+00:00,2025-05-14 06:21:15.136000+03:00,6,2025-05-13
